PDB,binder
5orj,0
3ibn,0
3cd5,0
3cdb,0
3ccw,0
3cda,0
3cd0,0
3cd7,0
3cct,0
3ccz,0
2r4f,0
2q6b,0
2q6c,0
2q1l,0
3bgl,0
5tya,0
5tp0,0
4q7v,0
6g98,0
5wcm,0
2v7a,0
4q87,0
1rpj,1
4jpx,0
4jpy,0
3hfb,0
3tk2,0
3hf8,0
5tpg,0
5l01,0
3tcy,0
3hf6,0
5j6d,0
2toh,0
1ew8,0
1ew9,0
3dpc,0
b750,1
b882,1
4zb6,0
1dhj,0
4ly9,0
4bb9,0
4olh,0
4mro,0
4mqu,0
4op1,0
4oho,0
4op2,0
4msu,0
4op3,0
4ohm,0
4ohk,0
4ohp,0
4dzy,0
3su1,0
4acc,0
3i4b,0
1q5k,0
5t31,0
4acd,0
3l1s,0
3f88,0
4iq6,0
1q4l,0
1q3w,0
4ptg,0
1q3d,0
2ow3,0
5hln,0
2o5k,0
4afj,0
3gb2,0
4acg,0
2jld,0
3f7z,0
3q3b,0
4ach,0
1q41,0
3zrl,0
5f95,0
5f94,0
6b8j,0
3zrm,0
3pup,0
3m1s,0
6h0u,0
4ptc,0
1uv5,0
5kpk,0
3du8,0
6hk7,0
4q4p,0
5fdc,0
6csr,0
4yx4,0
5g45,0
3f80,0
3f1a,0
2e94,0
2e92,0
2e91,0
2e93,0
2z4w,0
2e95,0
2z50,0
2z7i,0
2z4z,0
6r4v,0
2z7h,0
2z78,0
2q80,0
2z52,0
2x7u,0
3d4z,0
4jyb,0
4jyc,0
2qm7,0
1k4h,0
2gvv,0
3mho,0
1ork,0
5hbn,0
6cn8,0
3wdd,0
3wdc,0
3wde,0
2i6b,0
4o1l,0
3otx,0
2i6a,0
3su6,0
3w9k,0
3pcf,1
3pcn,1
3pcg,1
4whs,0
3pce,1
1eoc,0
2buv,0
3pch,1
4whr,0
3pcb,1
3pcc,1
4whq,0
1ykp,0
5wl0,0
5c2o,0
5er4,0
1jaq,0
6cvv,0
1hn4,0
1bnv,0
3pfp,0
1k1l,0
1xug,0
2r23,1
3qps,0
3qqa,0
1sln,0
1ndz,0
6g36,0
6g3a,0
6g38,0
6g39,0
6g37,0
6g35,0
6g34,0
4qtc,0
5htc,0
5htb,0
3f18,0
3ibu,0
4ko8,0
5k1d,0
5c2h,0
3ehy,0
1mrn,0
4unp,0
5nr7,0
4uns,0
4unr,0
4unn,0
1w2h,1
1w2g,0
5nq5,0
4unq,0
1o7o,1
2hl4,1
2gsu,0
2p16,0
4elh,0
5g1z,0
4ajl,0
4aji,0
4ajk,0
4ajo,0
4al4,0
3suf,0
5yfs,0
3zi8,1
4f39,1
5o4f,0
2vw1,1
2vw2,0
4fpf,0
4fpk,0
4yw2,1
4x6k,0
4x47,0
4x49,0
4yz5,1
2VW1,1
4YW1,1
1SLI,1
4YW2,1
4YZ4,1
4XOG,1
1bn4,0
4fp1,0
2dw7,0
4m6u,0
3uxl,0
3uxk,0
4hnc,0
1mns,0
1mdl,0
6dj5,0
4lps,0
6cpa,0
4efs,0
4zme,0
3egt,0
4qtl,0
2zxg,0
6ayq,0
4yo8,0
3lgs,0
4yml,0
4wko,0
4ffs,0
2qtt,0
4wkn,0
4ynb,0
2qtg,0
1y6q,0
3dp9,0
4f2w,0
1nc1,0
6ayr,0
4f3c,0
6ayo,0
4f3k,0
1jys,0
4wkp,0
4wkb,0
4x24,0
1y6r,0
1nc3,0
3nm6,0
4wkc,0
2i3h,0
5c2a,0
4np2,0
4np3,0
4mrg,0
4mre,0
4mrh,0
4mrf,0
4mrd,1
2JCQ,1
2JCR,1
4MRD,1
b53b,1
4l9i,0
4y2q,0
6dj2,0
2yhw,1
4elf,0
1bn3,0
4rd0,0
3hww,0
3hwx,0
5vyy,0
5dh5,0
5yft,0
1r9l,0
2gyi,0
4j3l,0
1o2w,0
3f16,0
2r1y,1
3n2v,0
4q81,0
2x7t,0
4qrh,0
3uat,0
5ypo,0
3wp0,0
3wp1,0
2f3r,0
2hoc,0
5ufp,0
4xt2,0
5tbm,0
4ghi,0
1qji,0
6bsm,0
6bsl,0
6bto,0
5wlo,0
6css,0
5ndf,0
3fx6,0
2v2q,0
2v2v,0
3d78,0
3cz1,0
3r1v,0
3cyz,0
3n76,0
4b6p,0
3n7a,0
4b6s,0
4b6o,0
4kiu,0
4b6r,0
3n86,0
4ciw,0
2xd9,0
2xda,0
1v1j,0
4kij,0
1h0r,0
2xb9,0
1gu1,0
2c57,0
2wks,0
3n87,0
4ciy,0
2y77,0
2y71,0
2y76,0
2c4w,0
2c4v,0
5e2l,0
1ucn,0
6evr,0
6dil,0
5i29,0
5we9,0
1o2j,0
3d2e,0
3c7n,0
1yei,0
4q4q,0
3d8w,0
3mhi,0
5e2k,0
4ocp,0
4xmr,0
5irr,0
1ui0,0
5mro,0
5i8g,0
4n3w,0
5i8b,0
3su0,0
3igp,0
3tfp,0
3vje,0
2zcr,0
2zcs,0
4e9u,0
3tfn,0
2zcq,0
2zy1,0
4ea2,0
3acw,0
3acx,0
3tfv,0
4f6v,0
4f6x,0
3wcg,0
1ezf,0
4ea1,0
3wcb,0
2vwn,0
4bps,0
1zvx,0
1i2s,0
4ly1,0
1g45,0
4q7w,0
6g9u,0
5ork,0
4jym,0
5yz7,0
6ap6,0
6ap8,0
5z95,0
6ap7,0
5dj5,0
5z89,0
1k4g,0
1pph,0
2qbu,0
2yay,0
1gwv,1
5jg1,0
1jak,0
3sut,0
3s6t,0
3suu,0
3sur,0
3ozp,0
3vtr,1
3nsn,1
3suw,0
3suv,0
1hp5,0
5fcz,0
1M03,1
4H04,1
3VTR,1
3NSN,1
b694,1
b746,1
b7e0,1
1c1u,0
3dx2,0
4q7p,0
5dh4,0
4b5w,0
4b5s,1
4b5t,0
3vjc,0
5ldp,0
5ldm,0
5ldk,0
5ldo,0
4elg,0
3u90,0
3f34,0
3f33,0
3f37,0
3f35,0
3f38,0
3f36,0
3f39,0
5ty9,0
3f17,0
4eoh,0
3f8f,0
3f8c,0
4zzd,0
5ix0,0
4bup,0
6evn,0
6evo,0
6evp,0
6evm,0
1NA3,1
5uov,0
1yfz,0
4u73,0
2zq0,1
4rd6,0
1qf2,0
3sug,0
5ewa,0
3tif,0
1lan,0
5ct2,0
5cs3,0
5cp9,0
5cs5,0
5ct1,0
1GMN,1
1GMO,1
3MKP,1
7MO9,1
7MOA,1
5mxf,1
2i3i,0
2pq9,0
1x8r,0
1x8t,0
2pqb,0
2pqc,0
2ggd,0
3fjz,0
2aay,0
2qfu,0
2qft,0
1g6s,0
2aa9,0
2gga,0
3fk1,0
5e13,0
1hi4,0
1hi3,0
1hi5,0
2c02,0
1h1h,0
2bzz,0
1zs0,0
3n2p,0
2v77,0
6g0z,0
6g14,0
6g15,0
3aaq,0
4cd1,0
1o2q,0
3cm2,0
3ehx,0
6epy,1
4rhx,0
3f19,0
2bo4,0
2y4k,0
2y4m,0
1wcq,0
1W8N,1
1W8O,1
1EUU,1
5g17,0
1k1j,0
3zi0,0
1z9g,0
2ydt,1
5m1z,1
2W5O,1
3gk1,0
3vfa,0
1k1m,0
2doo,0
5ulp,0
1vzq,0
1atr,0
5dgu,0
1bnw,0
1mq6,0
1zge,0
4k7i,0
4k7n,0
4k7o,0
4mmm,0
2qzr,0
6b4d,0
5eij,0
3i9g,0
2fx6,0
5n0d,0
1ai4,0
1ajp,0
1ajq,0
1ai5,0
1ai7,0
1ajn,0
1ai6,0
3m96,0
5jsq,0
4axd,0
3g0i,0
1n51,0
5mby,1
5m4q,1
4zv2,0
2wky,0
5ot8,0
2xxx,0
5fho,0
3gba,0
1laf,0
5ota,0
1lah,0
5fhn,0
2p2a,0
5ot9,0
2a5s,0
5itp,0
1lag,0
3s9e,0
6h2t,0
4kqp,0
1pb8,0
6h1u,0
5l9o,0
3dln,0
1xhy,0
4pp0,0
1pb9,0
4g4p,0
3rt8,0
3rtf,0
6f28,0
4g8n,0
2rcb,0
1lst,0
2f34,0
1syh,0
4ymb,0
1wvj,0
2pbw,0
2al5,0
5vih,0
1syi,0
4dld,0
2f35,0
4ymx,0
3pd8,0
4igt,0
2v3u,0
5neb,0
3fv1,0
2pyy,0
1my4,0
1p1q,0
3fvn,0
5dex,0
4nwc,0
3pd9,0
3fuz,0
5nih,0
2pvu,0
3gbb,0
3u92,1
4kfq,0
5org,0
2xxr,0
4n07,0
5otc,0
3u93,0
1vso,0
5fhm,0
2xxt,1
5ito,0
1y20,0
1hsl,0
4qf9,0
1y1z,0
5cc2,0
4zv1,0
3bft,0
5u8c,0
4g8m,0
1pbq,0
3bfu,0
4x48,0
2q89,0
4o3c,0
2y7i,0
5vij,0
5cbr,0
4isu,0
3fat,0
3tza,0
3fas,0
2q88,0
2q2a,0
4e0x,1
5cbs,0
3fv2,0
1xt8,0
4pow,0
1p1o,0
3fvk,0
3dp4,0
1p1n,1
4pox,0
1wdn,0
3s2v,0
5lom,0
1mqg,0
1mqi,0
4u4x,0
2xxw,0
1mxu,0
1mqh,0
2xxy,1
5ng9,0
5owf,0
4gxs,0
6f29,0
3rt6,0
1y1m,0
6ggv,0
3ua8,0
5vii,0
1s9t,0
1mm7,0
2q2c,0
2znu,0
2znt,0
4o3a,0
2zns,0
1fw0,1
1mm6,0
5i58,0
1m5f,0
5i56,0
1my3,0
6a80,0
1tt1,1
5nf5,0
3qxm,0
3fvg,0
5i59,0
4nwd,0
3h03,0
1my2,0
4igr,0
1nnk,0
5m2v,0
1mqd,0
1mqj,0
4u4s,0
2i3v,0
1n0t,0
2cmo,0
5elv,0
2rc9,0
2rc8,0
1s50,0
4c0r,0
1ftj,0
4e0w,1
4o3b,0
1ftl,0
3bki,0
1ftk,1
3h06,0
3tdj,0
1m5b,0
1ms7,0
1m5e,0
2yln,0
5nf6,0
1m5d,0
1m5c,0
5lz7,0
5lz4,0
5lz5,0
5jal,0
5ye9,0
5jap,0
5ye7,0
5yea,0
5ye8,0
5lz9,0
5lz8,0
5lp1,0
5i8p,0
5jat,0
5jas,0
5jao,0
5jah,0
5jar,0
5jau,0
5jan,0
5lyy,0
5lz2,0
5i9i,0
3ivc,0
3imc,0
4ef6,0
3ime,0
4ddh,0
3iue,0
3iub,0
3ivx,0
4mq6,0
4muf,0
4g5f,0
4de5,0
3coz,0
4efk,0
4fzj,0
3isj,0
3ivg,0
4ddk,0
4ddm,0
4mul,0
3iod,0
3ioc,0
3iob,0
3ioe,0
3cow,0
3coy,0
3img,0
3le8,0
4g5y,0
4mue,0
4muk,0
2uw4,0
3bex,0
3bf1,0
4lbu,0
b58a,1
b5a3,1
b755,1
b765,1
b807,1
3nim,0
3ljo,0
3cs7,0
4r59,0
2b4l,0
3chg,0
2b4m,0
5nxx,0
1utm,0
2yz3,0
2xc4,0
2uyn,0
5js3,0
4x3k,0
4lm4,0
5jvi,0
4pvy,0
4pvx,0
2f94,0
2f9k,0
5ja0,0
1yq7,0
2i19,0
4dzw,0
3n46,0
2z4y,0
4h5d,0
4lph,0
4h5c,0
3n1w,0
3n49,0
4h5e,0
4jzb,0
4lpg,0
4qxs,0
3n1v,0
6n83,0
2vf6,0
5jv0,0
5juz,0
2f89,0
6n82,0
6n7z,0
4e1e,0
5jv1,0
5ahu,0
4dem,0
4rxa,0
3n5j,0
3n6k,0
4dwb,0
5djr,0
4n1z,0
4l2x,0
4ga3,0
5hn8,0
3n45,0
5hna,0
5hn7,0
5hn9,0
5dgm,0
2p1c,0
4jvj,0
4p0v,0
4p0x,0
6oag,0
5ael,0
6oah,0
5jv2,0
4p0w,0
6n7y,0
4k10,0
5afx,0
4rxc,0
4rxd,0
3ryw,0
3ldw,0
4rxe,0
3n3l,0
5ksx,0
5ygi,0
5djp,0
3rbm,0
5diq,0
1yhm,0
4dwg,0
3n5h,0
5djv,0
4dxj,0
1hyo,0
4pv5,0
2za0,0
4kyk,0
3vw9,0
1rmz,0
4a7i,0
1ols,0
2aac,0
b552,1
5kcb,0
5kat,0
5kau,0
5byi,0
4kwg,0
4kwf,0
5mz8,0
3szb,0
5l2m,0
5l13,0
6b5i,0
4wpn,0
4wp7,0
3sz9,0
4lh3,0
4x0u,0
2vle,0
4lh2,0
5l2n,0
5l2o,0
1UXT,1
6FJX,1
4lm3,0
5el9,0
1utj,0
2cht,0
3ip8,0
5gja,0
6h2z,0
3dc3,0
3vx3,0
1f0s,0
5vb5,0
1swg,0
5jsj,0
6gnm,0
3kgu,0
3kgt,0
1e4h,0
3neo,0
5u4b,0
3nes,0
5u4d,0
6gnp,0
6gnw,0
5en3,0
4dew,0
6gon,0
5l4i,0
4d7b,0
3cft,0
3cfn,0
5ayt,0
1bm7,0
2g5u,0
3nee,0
6gnr,0
2f7i,0
3nex,0
5u49,0
2b9a,0
3p3r,0
4deu,0
4der,0
4des,0
4det,0
5l4j,0
3p3t,0
5l4m,0
3p3s,0
5boj,0
1tyr,0
3tct,0
5u4e,0
3hj0,0
5u4c,0
3fc8,0
2f8i,0
3gs7,0
6goo,0
5l4f,0
4hiq,0
4abu,0
6grp,0
3cn0,0
3d2t,0
5u48,0
3ipb,0
3ipe,0
5u4a,0
5u4f,0
3fcb,0
5u4g,0
2rox,0
4ydn,0
3p3u,0
4his,0
5a6i,0
1e5a,0
6gr7,0
5jiq,0
4abv,0
5jid,0
5jim,0
1pgp,0
4gwk,0
5uq9,0
4ufk,1
4p5d,0
4kxn,0
4fyh,0
4kxm,0
4kxl,0
4p5e,0
1lpz,0
3pwk,0
4r3w,0
2gz2,0
2q38,0
3kyq,0
3p8o,0
1f0t,0
5vkc,0
3udd,0
4z07,0
5kbf,0
4itp,0
3c52,0
5lud,0
5t9z,0
5t9u,0
6gjl,0
6gjj,0
6gjm,0
5t9w,0
5ta4,0
5ta2,0
6gjn,0
6gji,0
6gjr,0
1cwc,1
3odi,1
2x2c,1
4j59,0
1cwb,1
4j58,0
2igw,0
1w8l,0
1w8m,0
2igv,0
6gjy,0
6ra1,0
1ynd,0
1qng,1
1qnh,1
2wfj,1
5yba,0
1c5f,1
6r9s,0
3eov,1
2ms4,0
4j5c,0
4j5d,0
1nmk,0
3odl,1
4j5e,0
4j5b,0
1mik,1
4dgb,0
4jjm,1
2z6w,1
5a0e,1
1cyn,1
2usn,0
4ccd,1
3ZR6,1
4CCC,1
4UFK,1
4CCE,1
b32b,1
5dpx,0
6ebe,0
3dcc,0
5ef7,0
3lir,0
5d3p,0
2cbz,0
1gi1,0
6cdl,0
4pum,0
5w1e,0
2w67,0
2qpu,1
3hl5,0
1ela,0
5n3y,0
3sk2,0
3m36,0
3zq9,1
3ljz,0
4mrz,0
4gr8,0
2amt,0
1yqy,0
3e3c,0
3mz6,0
4i7l,1
185l,0
1lgw,0
186l,0
4i7j,1
4i7m,1
4i7k,1
4i7p,1
1l83,0
4w52,0
1li2,0
188l,0
1li3,0
1li6,0
187l,0
184l,0
4w55,0
220l,0
4w53,0
4w54,0
223l,0
3run,1
4w57,0
148L,1
2fqo,0
2fqt,0
4lm2,0
5eei,0
2pov,0
3gy7,0
5mjn,0
1thz,0
2b1i,0
2b1g,0
1oz0,0
1pkx,0
1pl0,0
1p4r,0
2iu0,0
5uy8,0
5uz0,0
1m9n,0
1olu,0
5een,0
6PY9,1
3ljg,0
1utl,0
2ves,0
1rnt,0
6rnt,0
1det,0
1b2m,0
1rgl,0
1rgk,0
1ur9,1
2wzm,0
5uxf,0
2ACQ,1
1ciz,0
4ruz,0
1lpg,0
5d3c,0
5efh,0
6h29,0
2rfh,0
1ecq,0
1ec9,0
4nnr,0
1fkf,0
1fkh,0
1fki,0
1fkg,0
4jfm,0
4jfk,0
1d7j,0
5dit,0
4w9o,0
1fkb,0
1d7i,0
1j4r,0
4w9p,0
4qt2,0
3ihz,0
4tw6,0
4jfj,0
1f40,0
4jfl,0
4tw7,0
1qpl,0
5d75,0
5diu,0
4dro,0
4drn,0
6saf,0
1a7x,0
1pbk,0
4jfi,0
1qpf,1
2ko7,0
4j4o,0
4drk,0
4mgv,0
4w9q,0
5div,0
4drp,0
1bl4,0
4drm,0
4j4n,0
1QPF,1
4r5t,0
4hdp,0
2drc,0
3o56,0
5n93,0
5mrb,0
5n84,0
3hmp,0
3wzj,0
3wyy,0
5nad,0
3wyx,0
4c4e,0
4bhz,0
4c4j,0
6b4w,0
5ei2,0
5n7v,0
5n87,0
6h3k,0
5eh0,0
4bi2,0
3w1f,0
5ap1,0
5ap6,0
5o91,0
5ljj,0
5ap0,0
5na0,0
4c4f,0
5n9s,0
4c4h,0
5ei6,0
5ei8,0
3vqu,0
4c4i,0
4c4g,0
4bi0,0
5ntt,0
5ehy,0
4bi1,0
2zmd,0
5ap5,0
5ap2,0
5ap3,0
5ap4,0
3gfw,0
5ny3,0
2j4i,0
1elr,0
4ts1,0
6i5y,0
1jii,0
6hb5,0
6hb7,0
1jij,0
1jil,1
1jik,0
6hb6,0
1JIL,1
2bq7,0
4jal,0
3oyq,0
3nik,0
3fjg,0
3fj7,0
4kwo,0
4aq4,0
